board_index,board_name,width,height,total_mines,selections,opened_safe,opened_mines,cycles,cfg_cycles,load_cycles,solver_cycles,score_cycles,total_board_cycles,score_numerator,score_denominator,score_scaled,score,board_crc,jtag_retries,transport_error,protocol_version,build_id,solver_stalled
389,board_14x12_35_11917_none,14,12,35,85,133,1,259316,0,0,259316,0,259316,4522,4655,9714,0.9714,4E5E,0,0,2,0001,0
390,board_16x16_37_11954_none,16,16,37,75,219,0,46329,0,0,46329,0,46329,8103,8103,10000,1.0000,B68F,0,0,2,0001,0
391,board_19x18_90_11995_none,19,18,90,198,252,3,406136,0,0,406136,0,406136,21924,22680,9666,0.9666,F2CC,0,0,2,0001,0
392,board_19x12_48_12094_none,19,12,48,107,180,2,68853,0,0,68853,0,68853,8280,8640,9583,0.9583,465C,0,0,2,0001,0
393,board_15x4_10_12147_none,15,4,10,18,50,0,7501,0,0,7501,0,7501,500,500,10000,1.0000,973E,0,0,2,0001,0
394,board_14x4_11_12158_none,14,4,11,31,45,1,31196,0,0,31196,0,31196,450,495,9090,0.9090,8AB8,0,0,2,0001,0
395,board_11x5_14_12170_none,11,5,14,21,41,3,61708,0,0,61708,0,61708,451,574,7857,0.7857,C47C,0,0,2,0001,0
396,board_10x6_16_12185_none,10,6,16,33,44,1,122305,0,0,122305,0,122305,660,704,9375,0.9375,0E14,0,0,2,0001,0
397,board_8x10_16_12206_none,8,10,16,44,64,3,22806,0,0,22806,0,22806,832,1024,8125,0.8125,6814,0,0,2,0001,0
398,board_5x16_11_12225_none,5,16,11,26,69,0,5341,0,0,5341,0,5341,759,759,10000,1.0000,47DD,0,0,2,0001,0
399,board_4x18_12_12237_none,4,18,12,29,60,1,40465,0,0,40465,0,40465,660,720,9166,0.9166,AFC6,0,0,2,0001,0
400,board_4x18_19_12251_none,4,18,19,36,53,2,34956,0,0,34956,0,34956,901,1007,8947,0.8947,A3E1,0,0,2,0001,0
401,board_9x6_8_12275_none,9,6,8,23,46,2,13751,0,0,13751,0,13751,276,368,7500,0.7500,2E44,0,0,2,0001,0
402,board_16x6_24_12285_none,16,6,24,23,42,0,169984,0,0,169984,0,169984,1008,1728,5833,0.5833,AD06,0,0,2,0001,1
403,board_18x10_31_12314_none,18,10,31,75,149,0,16660,0,0,16660,0,16660,4619,4619,10000,1.0000,1A75,0,0,2,0001,0
404,board_19x18_60_12348_none,19,18,60,139,282,1,57697,0,0,57697,0,57697,16638,16920,9833,0.9833,423B,0,0,2,0001,0
