"board_index","board_name","width","height","total_mines","selections","opened_safe","opened_mines","cycles","cfg_cycles","load_cycles","solver_cycles","score_cycles","total_board_cycles","score_numerator","score_denominator","score_scaled","score","solver_stalled"
"899","board_8x4_8_27629_none","8","4","8","14","24","1","22477","3","32","22477","37","22551","168","192","8750","0.8750","0"
"900","board_16x12_26_27641_none","16","12","26","56","166","0","22166","3","192","22166","37","22400","4316","4316","10000","1.0000","0"
"901","board_19x19_98_27668_none","19","19","98","202","263","1","224942","3","361","224942","37","225345","25511","25774","9897","0.9897","0"
"902","board_17x10_25_27784_none","17","10","25","60","145","1","38208","3","170","38208","37","38420","3480","3625","9600","0.9600","0"
"903","board_15x6_19_27813_none","15","6","19","39","71","3","66361","3","90","66361","37","66493","1136","1349","8421","0.8421","0"
"904","board_7x8_8_27833_none","7","8","8","17","48","0","6033","3","56","6033","37","6131","384","384","10000","1.0000","0"
"905","board_6x10_8_27842_none","6","10","8","20","52","0","4619","3","60","4619","37","4721","416","416","10000","1.0000","0"
"906","board_4x19_19_27852_none","4","19","19","28","50","3","45918","3","76","45918","37","46036","779","1083","7192","0.7192","1"
"907","board_8x12_14_27873_none","8","12","14","29","82","1","17473","3","96","17473","37","17611","1066","1148","9285","0.9285","0"
"908","board_14x4_15_27890_none","14","4","15","28","41","4","21615","3","56","21615","37","21713","451","615","7333","0.7333","0"
"909","board_19x10_28_27910_none","19","10","28","45","162","0","28386","3","190","28386","37","28618","4536","4536","10000","1.0000","0"
"910","board_19x14_58_27943_none","19","14","58","98","208","1","74499","3","266","74499","37","74807","11856","12064","9827","0.9827","0"
"911","board_18x19_71_28013_none","18","19","71","168","271","1","92373","3","342","92373","37","92757","18970","19241","9859","0.9859","0"
"912","board_16x18_41_28090_none","16","18","41","98","247","0","19775","3","288","19775","37","20105","10127","10127","10000","1.0000","0"
"913","board_11x10_24_28132_none","11","10","24","31","86","1","47165","3","110","47165","37","47317","1978","2064","9583","0.9583","0"
"914","board_9x6_15_28158_none","9","6","15","31","39","1","7491","3","54","7491","37","7587","546","585","9333","0.9333","0"
